base64,description,x,y
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPPS0G////9jCPPgAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADRJREFUCNdjYAAD0RAGBsYAVgcGVgaGAAYWBgYBBhHWABEGAdEQFnQCLAFWAlYM1gY2AAQA48kFv9VD0HUAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a magical seal"",
    ""a glowing rune"",
    ""a sunburst icon"",
    ""a golden flower"",
    ""a portal entrance""
  ]
}",43,12
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPPS0G////9jCPPgAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAD1JREFUCNctjLENwAAIw4xEdgb4hxMY+P+WorZRZMVL4I0GrLZR7eC1QdYmoXECDtb/Sq7OiWCwUUPtd/QA5xsFQhjmJ/0AAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a glowing gem"",
    ""a magical aura"",
    ""a treasure chest"",
    ""a wizard's hat"",
    ""a power-up icon""
  ]
}",44,12
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPPS0G////9jCPPgAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADVJREFUCNdjYAAD0RAGBsYAVgcGVgaGAAYWkJAIA2sAgwBIRoARToC4YAmwErBisDawASAAANSQBWkl2Z/wAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a golden coin"",
    ""a sun symbol"",
    ""a magical orb"",
    ""a treasure icon"",
    ""a glowing rune""
  ]
}",45,12
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPPS0G////9jCPPgAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAD1JREFUCNctjLENADEIxIzE9RSwDyNQsP8sH31ycmE3B/9qwUaNYHAIkkNwIqz9mcbJ2sRrA9UOVtuguUcfuRwFQvNRVUwAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a glowing magical aura"",
    ""a sun or star icon"",
    ""a wizard's hat"",
    ""a golden explosion"",
    ""a divine symbol""
  ]
}",46,12
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPPS0G////9jCPPgAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADRJREFUCNdjYAAD0RAGBsYAVgcGVgaGAJCAAANrAIMISJwFSDjACSAXLAFRAlIM1gY2AAQA568Fz2+khxUAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a golden coin"",
    ""a sun symbol"",
    ""a magical portal"",
    ""a gear or cog"",
    ""a treasure icon""
  ]
}",47,12
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADlJREFUCNdjEHUNDGFwYQ0QZAhhYBBlcAgNZWRwDA11ZGAMDXVgCAwNdUUnwBJgJWDFYG1gA0BGAQBfOA8prORjcQAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a decorative floor tile"",
    ""a magic circle outline"",
    ""a small shrine"",
    ""a gem or jewel"",
    ""a portal frame""
  ]
}",48,12
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAD5JREFUCNdjYAABURfXEAZRRxiLgYE1hEEw0BVEOIDkGVkYREVdXICEAwtQjasLgyBImEUkVIRBEESAWSAAAEh4B5XfCX00AAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a collection of runes"",
    ""a damaged stone floor"",
    ""a crafting table interface"",
    ""a set of building blocks"",
    ""a magical symbol array""
  ]
}",0,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADtJREFUCNdjYAABURfXEAYBEEsgNJSFgdGB0YVBkEUATDgwMEJZUALCZWAASoSGuoC0sTCwiISKgE0CAAvABm5xI9WLAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a stone well"",
    ""a magical portal"",
    ""a decorated window"",
    ""a treasure chest"",
    ""a rune symbol""
  ]
}",1,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAD5JREFUCNdjYAABURfXEAYREEtENARIB7CKMAg4MIIJoKADIwuDiGsgkACxwFywBEtoKFAJUBMDi0goWDsDAPrBBgBa2yfQAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a small shrine"",
    ""a stone well"",
    ""a treasure chest"",
    ""a magical rune"",
    ""a building foundation""
  ]
}",2,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADRJREFUCNdjYAABVgZGAQYWB4YAdJaIA0MIgygDowgyiwGIBENDXRgEGBhYIIRoaGgI2CQAwAcFcduYNI8AAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a stone archway"",
    ""a ruined doorway"",
    ""a castle gate"",
    ""a treasure chest"",
    ""a magical portal""
  ]
}",3,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADVJREFUCNdjYAABkRBXERAB5rAwiASwCjCIODCygLgCQAEgEoBIMYiAWCIMYCmQTiCEESAAAKW4AxFV2JtIAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a ruined corner piece"",
    ""a section of wall with cracks"",
    ""a crumbling tower fragment"",
    ""a dark alcove entrance"",
    ""a UI element for a building menu""
  ]
}",4,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPOZILv///9ztKqcAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADxJREFUCNdFjDsKACAMQ99g9w71SN1b8P5nMYpglnx4BI6mlRMwFJcsO/AyLWUQJ0Xnr4KzH+xaGFbrPm339wZpo7j2ggAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a glowing rune"",
    ""a magical portal"",
    ""a furnace opening"",
    ""a treasure chest"",
    ""a power-up icon""
  ]
}",5,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPOZILv///9ztKqcAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADFJREFUCNdjYAABUdYAARDhAuYxsLiIhjAICgAJmGwIhIBwQwSBikNYoIoFQRIsMFkA+T4Ggh1Py0sAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""lava flow"",
    ""a fiery pit"",
    ""hot springs"",
    ""magma blocks"",
    ""a damage indicator""
  ]
}",6,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPOZILv///9ztKqcAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADxJREFUCNdjYAABUdYAAQYBBgYWBobQUAYGxtBQFwZBB0YXBkYHRgcIS9A1EMEFEiAlYMVgbSysASFgkwA/QQg/S9gDPQAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a magical rune"",
    ""a glowing portal"",
    ""a treasure chest"",
    ""a fire trap"",
    ""a spell effect icon""
  ]
}",7,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADJJREFUCNdjYAAB0dDQEAgBBqyMDgEMjI6ODgwMga5AvqALkGB0QCHAYmBCgAVkAlQrADIQBlUwXX3FAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a small altar"",
    ""a stone pillar"",
    ""a magical rune"",
    ""a simple throne"",
    ""a UI element for crafting""
  ]
}",8,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAC9JREFUCNdjYAAB0dDQEAgBBowOjA4QQtA10AVCIMQgEi6CLhBCBAgYWANYA8BaAXLlCNU3WIoHAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a wooden table"",
    ""a blacksmith's anvil"",
    ""a simple altar"",
    ""a crafting station"",
    ""a UI element for building""
  ]
}",9,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPOZILv///9ztKqcAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACpJREFUCNdjYAAB0dDQEDCDQYCBgQWdBZZFKBFhZXRgAOIABiAWYUA1AADVAwYK1/ya2AAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a lava flow"",
    ""a fiery pit"",
    ""a burning bookshelf"",
    ""a heat source icon"",
    ""a stylized fireplace""
  ]
}",10,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAB9JREFUCNdjYAABFodAAQYWF0Eg4coIJBwdBcgQAwEAGeMHCQrYE4QAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a barred window"",
    ""a stone pillar ruin"",
    ""a magical energy field"",
    ""a set of prison bars"",
    ""a stylized gate icon""
  ]
}",11,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACxJREFUCNdjYAADRgcGKGANABIsAjACzIUoAbEYQ4CEgAiQEAERrCEoSoAAAGcGArT9jIdMAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a small treasure chest"",
    ""a stone altar"",
    ""a decorative urn"",
    ""a building's corner"",
    ""a resource deposit icon""
  ]
}",12,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPOZILv///9ztKqcAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAAB5JREFUCNdjYEAA0RAg4cAIIgRhLIRYaCgmFyEGAwC2qQT4QLUpZAAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a stack of books"",
    ""a treasure chest"",
    ""a small altar"",
    ""a furnace or kiln"",
    ""a building foundation""
  ]
}",13,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPOZILv///9ztKqcAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACdJREFUCNdjYIAAByBmBDEEXYCEiyCQcA0EiYMERUNgrNBQHFwYAAC3fwTUt5E9wwAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a small brazier"",
    ""a burning campfire"",
    ""a stack of coins"",
    ""a lava pool"",
    ""a fire damage icon""
  ]
}",14,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADVJREFUCNdjYAAB0dDQEAYBBgYWdAIsgVAiwhogwiAY6OrCwMIiIMAg4hooAmExBrA6gJUBAPqJBpY/e76zAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a writing desk"",
    ""a treasure chest"",
    ""a small altar"",
    ""a crafting station"",
    ""a UI window frame""
  ]
}",15,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADZJREFUCNc9icERACAIw8oGckc3cgTZfxWJD/Pg0iBBDXL3UXBMs5m1t5y55JoWyQMzFt9egwsKbQUdlL2M7gAAACV0RVh0ZGF0ZTpjcmVhdGUAMjAyNS0wNi0yOVQwMDo0MjowMyswMDowMFZKvRoAAAAldEVYdGRhdGU6bW9kaWZ5ADIwMjEtMTEtMDlUMjM6MDQ6NTIrMDA6MDCPJxgaAAAAKHRFWHRkYXRlOnRpbWVzdGFtcAAyMDI1LTA2LTI5VDEyOjI4OjEwKzAwOjAwj4QwzQAAAABJRU5ErkJggg==","{
  ""interpretations"": [
    ""a castle corner"",
    ""a fortified wall section"",
    ""a treasure chest"",
    ""a building foundation"",
    ""a stone block UI element""
  ]
}",16,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAACNJREFUCNdjYAABESBgEA0NDYEQYABmsbi4uDAICgoKMBAJAAtQBJ05WXNEAAAAJXRFWHRkYXRlOmNyZWF0ZQAyMDI1LTA2LTI5VDAwOjQyOjAzKzAwOjAwVkq9GgAAACV0RVh0ZGF0ZTptb2RpZnkAMjAyMS0xMS0wOVQyMzowNDo1MiswMDowMI8nGBoAAAAodEVYdGRhdGU6dGltZXN0YW1wADIwMjUtMDYtMjlUMTI6Mjg6MTArMDA6MDCPhDDNAAAAAElFTkSuQmCC","{
  ""interpretations"": [
    ""a stone archway"",
    ""a castle gate"",
    ""a bookshelf"",
    ""a treasure chest"",
    ""a UI element for storage""
  ]
}",17,13
"data:image/png,base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQAgMAAABinRfyAAAAIGNIUk0AAHomAACAhAAA+gAAAIDoAAB1MAAA6mAAADqYAAAXcJy6UTwAAAAJUExURUctPM/GuP///2qzztIAAAABYktHRAJmC3xkAAAAB3RJTUUH6QYdDBwK3xTXLwAAADRJREFUCNdjYAABESBgEA0NDQERDiARECskhEFQUMSBgcXFJQSkCES4OMBZYDEHOCsEbBIAZqwIX2ZFpgQAAAAldEVYdGRhdGU6Y3JlYXRlADIwMjUtMDYtMjlUMDA6NDI6MDMrMDA6MDBWSr0aAAAAJXRFWHRkYXRlOm1vZGlmeQAyMDIxLTExLTA5VDIzOjA0OjUyKzAwOjAwjycYGgAAACh0RVh0ZGF0ZTp0aW1lc3RhbXAAMjAyNS0wNi0yOVQxMjoyODoxMCswMDowMI+EMM0AAAAASUVORK5CYII=","{
  ""interpretations"": [
    ""a castle corner"",
    ""a stone wall section"",
    ""a dungeon hallway bend"",
    ""a building foundation"",
    ""a fortified gate icon""
  ]
}",18,13
